City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Kungalv,SE,57.871,11.9805,42.67,94,78,13.94,broken clouds
239,Cermik,TR,38.1361,39.4493,44.44,52,0,2.73,clear sky
240,Ixtapa,MX,20.7,-105.2,69.22,83,0,0.0,clear sky
241,Caranavi,BO,-15.8167,-67.55,63.57,100,100,1.97,overcast clouds
242,Adrar,MR,20.5022,-10.0711,68.76,25,100,21.23,overcast clouds
243,Chernyshevskiy,RU,63.0128,112.4714,-36.26,100,37,3.11,scattered clouds
244,Kalmunai,LK,7.4167,81.8167,81.61,61,100,11.1,overcast clouds
245,Santa Cruz Cabralia,BR,-16.2781,-39.0247,75.43,94,40,2.3,scattered clouds
246,Weihe,CN,32.9952,105.3247,37.13,64,100,4.14,overcast clouds
247,Kirakira,SB,-10.4544,161.9205,82.67,77,97,5.93,moderate rain
248,Olinda,BR,-8.0089,-34.8553,80.33,74,75,5.75,broken clouds
249,Charters Towers,AU,-20.1,146.2667,92.17,24,97,9.55,overcast clouds
250,Surt,LY,31.2089,16.5887,60.46,63,100,4.59,overcast clouds
251,Sola,VU,-13.8833,167.55,81.27,78,100,0.0,overcast clouds
252,Mitsamiouli,KM,-11.3847,43.2844,88.09,58,20,4.61,light rain
253,Cap Malheureux,MU,-19.9842,57.6142,83.46,58,8,5.99,clear sky
254,Chernaya Kholunitsa,RU,58.8511,51.7154,15.98,95,100,5.82,overcast clouds
255,Phalaborwa,ZA,-23.943,31.1411,69.08,81,100,16.51,overcast clouds
256,Olavarria,AR,-36.8927,-60.3225,67.01,59,7,8.19,clear sky
257,Ahuimanu,US,21.4447,-157.8378,76.71,71,100,4.61,overcast clouds
258,Trunovskoye,RU,45.4878,42.1358,38.7,62,52,6.24,broken clouds
259,Maningrida,AU,-12.0667,134.2667,83.88,74,99,16.44,light rain
260,Matagami,CA,49.7502,-77.6328,33.91,100,100,6.91,mist
261,Gat,IL,31.61,34.7642,57.4,100,0,2.8,clear sky
262,Lyndon,US,38.2567,-85.6016,60.4,71,100,11.5,overcast clouds
263,San Lorenzo,PY,-25.3333,-57.5333,70.74,68,0,0.0,clear sky
264,Benjamin Hill,MX,30.1667,-111.1,53.2,67,96,8.46,overcast clouds
265,Sayyan,YE,15.1718,44.3244,55.2,39,6,6.26,clear sky
266,Harper,LR,4.375,-7.7169,77.05,85,100,1.7,overcast clouds
267,La Rioja,ES,42.25,-2.5,40.78,84,100,8.14,overcast clouds
268,Nanortalik,GL,60.1432,-45.2371,16.59,75,2,8.57,clear sky
269,East London,ZA,-33.0153,27.9116,63.54,82,75,5.75,broken clouds
270,Chifeng,CN,42.2683,118.9636,26.2,24,0,5.39,clear sky
271,Lukulu,ZM,-14.3707,23.242,73.56,72,100,5.23,overcast clouds
272,Rocha,UY,-34.4833,-54.3333,52.57,86,0,7.05,clear sky
273,Ilulissat,GL,69.2167,-51.1,14.02,73,100,17.27,light snow
274,Hukuntsi,BW,-24.0,21.75,80.46,44,88,16.96,overcast clouds
275,Tartagal,AR,-22.5164,-63.8013,68.77,68,100,4.0,overcast clouds
276,Anloga,GH,5.7947,0.8973,77.63,80,99,5.19,overcast clouds
277,Raga,SS,8.4596,25.678,72.54,23,5,7.74,clear sky
278,Pasni,PK,25.2631,63.471,71.42,32,0,25.7,clear sky
279,Kenora,CA,49.8167,-94.4337,13.17,92,100,10.36,overcast clouds
